account_number, mgmt_start_date, uma_template, UMA_CASH_MVT, UMA_DATE_PROCH_INTEGR , UMA_MODEL_NO, ALLOCATION_UMA_1A7
04-AAYW-A,2010-03-20,Template1,100,2010-03-21,~M-00007-0,2
04-ABBR-A,2010-03-20,Template1,101,2010-03-21,~M-00007-0,2
04-ACR5-A,2010-03-20,Template1,102,2010-03-21,~M-00007-0,2
04-AGHG-E,2010-03-20,Template1,103,2010-03-21,~M-00007-0,2
04-AGN2-A,2010-03-20,Template1,104,2010-03-21,~M-00007-0,2
04-AHQQ-A,2010-03-20,Template1,105,2010-03-21,~M-00007-0,2
04-AHQQ-B,2010-03-20,Template1,106,2010-03-21,~M-00007-0,2
05-F1RQ-A,2010-03-20,Template1,107,2010-03-21,~M-00007-0,2
05-F32L-E,2010-03-20,Template1,108,2010-03-21,~M-00007-0,2
05-F3GG-E,2010-03-20,Template1,109,2010-03-21,~M-00007-0,2
05-F46L-A,2010-03-20,Template1,110,2010-03-21,~M-00007-0,2
05-F5AV-A,2010-03-20,Template1,111,2010-03-21,~M-00007-0,2
05-F851-E,2010-03-20,Template1,112,2010-03-21,~M-00007-0,2
05-FF55-E,2010-03-20,Template1,113,2010-03-21,~M-00007-0,2
05-FHVQ-B,2010-03-20,Template1,114,2010-03-21,~M-00007-0,2
05-FK5G-E,2010-03-20,Template1,115,2010-03-21,~M-00007-0,2
05-FL4M-A,2010-03-20,Template1,116,2010-03-21,~M-00007-0,2
05-FS04-E,2010-03-20,Template1,117,2010-03-21,~M-00007-0,2
05-FSXZ-A,2010-03-20,Template1,118,2010-03-21,~M-00007-0,2
05-FTAE-T,2010-03-20,Template1,119,2010-03-21,~M-00007-0,2
05-FTHM-A,2010-03-20,Template1,120,2010-03-21,~M-00007-0,2
05-FX1F-A,2010-03-20,Template1,121,2010-03-21,~M-00007-0,2
05-FX1F-E,2010-03-20,Template1,122,2010-03-21,~M-00007-0,2
05-FX1F-F,2010-03-20,Template1,123,2010-03-21,~M-00007-0,2
05-G08Z-A,2010-03-20,Template1,124,2010-03-21,~M-00007-0,2
05-G09P-A,2010-03-20,Template1,125,2010-03-21,~M-00007-0,2
05-G0AE-E,2010-03-20,Template1,126,2010-03-21,~M-00007-0,2
05-G0DE-E,2010-03-20,Template1,127,2010-03-21,~M-00007-0,2
05-G13Q-E,2010-03-20,Template1,128,2010-03-21,~M-00007-0,2
05-G249-E,2010-03-20,Template1,129,2010-03-21,~M-00007-0,2
05-G268-A,2010-03-20,Template1,130,2010-03-21,~M-00007-0,2
05-G29U-E,2010-03-20,Template1,131,2010-03-21,~M-00007-0,2
05-G2FZ-A,2010-03-20,Template1,132,2010-03-21,~M-00007-0,2
05-G2L0-A,2010-03-20,Template1,133,2010-03-21,~M-00007-0,2
05-G30U-A,2010-03-20,Template1,134,2010-03-21,~M-00007-0,2
05-G3Q2-A,2010-03-20,Template1,135,2010-03-21,~M-00007-0,2
05-G3RR-A,2010-03-20,Template1,136,2010-03-21,~M-00007-0,2
05-G3XK-E,2010-03-20,Template1,137,2010-03-21,~M-00007-0,2
05-G4AF-A,2010-03-20,Template1,138,2010-03-21,~M-00007-0,2
05-G4YV-A,2010-03-20,Template1,139,2010-03-21,~M-00007-0,2
05-G607-E,2010-03-20,Template1,140,2010-03-21,~M-00007-0,2
05-G75M-A,2010-03-20,Template1,141,2010-03-21,~M-00007-0,2
05-GB5X-A,2010-03-20,Template1,142,2010-03-21,~M-00007-0,2
05-GDJK-E,2010-03-20,Template1,143,2010-03-21,~M-00007-0,2
05-GG10-E,2010-03-20,Template1,144,2010-03-21,~M-00007-0,2
05-GGSQ-E,2010-03-20,Template1,145,2010-03-21,~M-00007-0,2
05-GHZM-E,2010-03-20,Template1,146,2010-03-21,~M-00007-0,2
05-GL3G-A,2010-03-20,Template1,147,2010-03-21,~M-00007-0,2
05-GN03-B,2010-03-20,Template1,148,2010-03-21,~M-00007-0,2
05-GN83-A,2010-03-20,Template1,149,2010-03-21,~M-00007-0,2
05-GNQQ-E,2010-03-20,Template1,150,2010-03-21,~M-00007-0,2
05-GQCX-B,2010-03-20,Template1,151,2010-03-21,~M-00007-0,2
05-GQTZ-A,2010-03-20,Template1,152,2010-03-21,~M-00007-0,2
05-GT2G-A,2010-03-20,Template1,153,2010-03-21,~M-00007-0,2
05-GT79-F,2010-03-20,Template1,154,2010-03-21,~M-00007-0,2
05-GVR4-E,2010-03-20,Template1,155,2010-03-21,~M-00007-0,2
05-GWCG-E,2010-03-20,Template1,156,2010-03-21,~M-00007-0,2
05-GWUD-B,2010-03-20,Template1,157,2010-03-21,~M-00007-0,2
05-GX2G-A,2010-03-20,Template1,158,2010-03-21,~M-00007-0,2
05-GX5F-E,2010-03-20,Template1,159,2010-03-21,~M-00007-0,2
05-GX8N-A,2010-03-20,Template1,160,2010-03-21,~M-00007-0,2
05-GXW6-E,2010-03-20,Template1,161,2010-03-21,~M-00007-0,2
05-GY7S-A,2010-03-20,Template1,162,2010-03-21,~M-00007-0,2
05-GZML-A,2010-03-20,Template1,163,2010-03-21,~M-00007-0,2
05-GZMU-A,2010-03-20,Template1,164,2010-03-21,~M-00007-0,2
05-GZX6-A,2010-03-20,Template1,165,2010-03-21,~M-00007-0,2
05-H0WL-B,2010-03-20,Template1,166,2010-03-21,~M-00007-0,2
